2023-03-19 19:49:34 INFO     test: 1p: 22812
2023-03-19 19:49:42 INFO     Test 1p MRR at epoch 100: 0.454689
2023-03-19 19:49:42 INFO     Test 1p HITS1 at epoch 100: 0.355468
2023-03-19 19:49:42 INFO     Test 1p HITS3 at epoch 100: 0.498721
2023-03-19 19:49:42 INFO     Test 1p HITS10 at epoch 100: 0.656214
2023-03-19 19:49:42 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 19:49:42 INFO     Test average MRR at epoch 100: 0.454689
2023-03-19 19:49:42 INFO     Test average HITS1 at epoch 100: 0.355468
2023-03-19 19:49:42 INFO     Test average HITS3 at epoch 100: 0.498721
2023-03-19 19:49:42 INFO     Test average HITS10 at epoch 100: 0.656214
2023-03-19 19:49:44 INFO     test: 2p: 5000
2023-03-19 19:49:53 INFO     Test 2p MRR at epoch 100: 0.274597
2023-03-19 19:49:53 INFO     Test 2p HITS1 at epoch 100: 0.198132
2023-03-19 19:49:53 INFO     Test 2p HITS3 at epoch 100: 0.297101
2023-03-19 19:49:53 INFO     Test 2p HITS10 at epoch 100: 0.422481
2023-03-19 19:49:53 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 19:49:53 INFO     Test average MRR at epoch 100: 0.274597
2023-03-19 19:49:53 INFO     Test average HITS1 at epoch 100: 0.198132
2023-03-19 19:49:53 INFO     Test average HITS3 at epoch 100: 0.297101
2023-03-19 19:49:53 INFO     Test average HITS10 at epoch 100: 0.422481
2023-03-19 19:49:55 INFO     test: 3p: 5000
2023-03-19 19:50:02 INFO     Test 3p MRR at epoch 100: 0.199662
2023-03-19 19:50:02 INFO     Test 3p HITS1 at epoch 100: 0.142083
2023-03-19 19:50:02 INFO     Test 3p HITS3 at epoch 100: 0.208974
2023-03-19 19:50:02 INFO     Test 3p HITS10 at epoch 100: 0.310857
2023-03-19 19:50:02 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 19:50:02 INFO     Test average MRR at epoch 100: 0.199662
2023-03-19 19:50:02 INFO     Test average HITS1 at epoch 100: 0.142083
2023-03-19 19:50:02 INFO     Test average HITS3 at epoch 100: 0.208974
2023-03-19 19:50:02 INFO     Test average HITS10 at epoch 100: 0.310857
