2023-03-19 20:17:01 INFO     test: 1p: 22812
2023-03-19 20:17:09 INFO     Test 1p MRR at epoch 100: 0.454033
2023-03-19 20:17:09 INFO     Test 1p HITS1 at epoch 100: 0.354408
2023-03-19 20:17:09 INFO     Test 1p HITS3 at epoch 100: 0.497937
2023-03-19 20:17:09 INFO     Test 1p HITS10 at epoch 100: 0.656162
2023-03-19 20:17:09 INFO     Test 1p num_queries at epoch 100: 22812.000000
2023-03-19 20:17:09 INFO     Test average MRR at epoch 100: 0.454033
2023-03-19 20:17:09 INFO     Test average HITS1 at epoch 100: 0.354408
2023-03-19 20:17:09 INFO     Test average HITS3 at epoch 100: 0.497937
2023-03-19 20:17:09 INFO     Test average HITS10 at epoch 100: 0.656162
2023-03-19 20:17:10 INFO     test: 2p: 5000
2023-03-19 20:17:20 INFO     Test 2p MRR at epoch 100: 0.275003
2023-03-19 20:17:20 INFO     Test 2p HITS1 at epoch 100: 0.198299
2023-03-19 20:17:20 INFO     Test 2p HITS3 at epoch 100: 0.297106
2023-03-19 20:17:20 INFO     Test 2p HITS10 at epoch 100: 0.422059
2023-03-19 20:17:20 INFO     Test 2p num_queries at epoch 100: 5000.000000
2023-03-19 20:17:20 INFO     Test average MRR at epoch 100: 0.275003
2023-03-19 20:17:20 INFO     Test average HITS1 at epoch 100: 0.198299
2023-03-19 20:17:20 INFO     Test average HITS3 at epoch 100: 0.297106
2023-03-19 20:17:20 INFO     Test average HITS10 at epoch 100: 0.422059
2023-03-19 20:17:22 INFO     test: 3p: 5000
2023-03-19 20:17:29 INFO     Test 3p MRR at epoch 100: 0.196629
2023-03-19 20:17:29 INFO     Test 3p HITS1 at epoch 100: 0.137420
2023-03-19 20:17:29 INFO     Test 3p HITS3 at epoch 100: 0.208355
2023-03-19 20:17:29 INFO     Test 3p HITS10 at epoch 100: 0.312464
2023-03-19 20:17:29 INFO     Test 3p num_queries at epoch 100: 5000.000000
2023-03-19 20:17:29 INFO     Test average MRR at epoch 100: 0.196629
2023-03-19 20:17:29 INFO     Test average HITS1 at epoch 100: 0.137420
2023-03-19 20:17:29 INFO     Test average HITS3 at epoch 100: 0.208355
2023-03-19 20:17:29 INFO     Test average HITS10 at epoch 100: 0.312464
2023-03-19 20:17:30 INFO     test: 2i: 5000
2023-03-19 20:17:36 INFO     Test 2i MRR at epoch 100: 0.338923
2023-03-19 20:17:36 INFO     Test 2i HITS1 at epoch 100: 0.234751
2023-03-19 20:17:36 INFO     Test 2i HITS3 at epoch 100: 0.379752
2023-03-19 20:17:36 INFO     Test 2i HITS10 at epoch 100: 0.550612
2023-03-19 20:17:36 INFO     Test 2i num_queries at epoch 100: 5000.000000
2023-03-19 20:17:36 INFO     Test average MRR at epoch 100: 0.338923
2023-03-19 20:17:36 INFO     Test average HITS1 at epoch 100: 0.234751
2023-03-19 20:17:36 INFO     Test average HITS3 at epoch 100: 0.379752
2023-03-19 20:17:36 INFO     Test average HITS10 at epoch 100: 0.550612
2023-03-19 20:17:37 INFO     test: 3i: 5000
2023-03-19 20:17:43 INFO     Test 3i MRR at epoch 100: 0.457353
2023-03-19 20:17:43 INFO     Test 3i HITS1 at epoch 100: 0.354467
2023-03-19 20:17:43 INFO     Test 3i HITS3 at epoch 100: 0.507940
2023-03-19 20:17:43 INFO     Test 3i HITS10 at epoch 100: 0.656467
